,item,brand,retail,release,lowestAsk,numberOfAsks,salesThisPeriod,highestBid,numberOfBids,annualHigh,annualLow,volatility,deadstockSold,averageDeadstockPrice,lastSale,changePercentage
960,New Balance 574 YURT Salehe Bembury Universal Communication Black Plum,New Balance,150,2022-04-22,122,349,13,155,52,400,92,0.095929,475,174,191,0.24219
961,Converse DRKSHDW DRKSTAR Hi Rick Owens Black Egret,Converse,170,2022-02-22,144,118,13,154,86,293,77,0.07379,414,180,163,0.01875
962,Crocs Classic Clog Cinnamon Toast Crunch (GS),Crocs,0,2022-04-28,75,39,13,120,25,179,55,0.169573,406,93,165,0.03125
963,Crocs Classic Clog Lisa Frank,Crocs,60,2022-03-15,66,74,13,95,22,300,45,0.214375,391,140,88,-0.022222
964,adidas Ultra Boost 1.0 DNA White Oreo,Adidas,190,,102,185,13,120,56,200,70,0.144887,373,134,100,0.010101
965,ASICS Gel-Lyte III AFEW Beauty of Imperfection,Asics,170,2022-02-26,110,192,13,185,66,570,101,0.123714,372,201,110,0.089109
966,Nike Dunk Low Avocado (W),Nike,120,,93,396,13,101,46,266,84,0.087172,310,127,124,0.280797
967,Nike React Phantom Run Flyknit 2 White Glacier Blue,Nike,140,,144,160,13,152,34,508,158,0.051721,208,230,191,-0.010949
968,Nike Air Max 90 PRM Pro Green Pale Ivory,Nike,140,,99,195,13,185,72,337,86,0.136467,177,168,197,1.2907
969,adidas Ultra 4D Black Almost Lime,Adidas,220,2022-02-25,111,116,13,129,65,225,60,0.126259,109,133,120,-0.142857
970,The North Face Trekking Sandal Supreme Stone,The North Face,88,2022-06-09,105,98,13,125,22,168,102,0.059255,29,116,105,-0.0303
971,adidas Yeezy BSKTBL Knit Slate Azure,Adidas,300,2022-06-10,267,269,13,275,106,635,146,0.754551,19,330,205,-0.068182
972,Nike Air Max BW OG Marina,Nike,130,2022-05-12,139,227,12,175,107,405,122,0.117718,866,186,159,0.017714
973,Nike Air Force 1 Mid NH Vivid Sulfur Rush Orange,Nike,145,2022-06-14,151,79,12,175,63,220,87,0.133972,37,134,151,-0.132184
974,Jordan 1 Mid Gym Red Black White (GS),Nike,90,2021-04-16,131,404,12,149,95,268,68,0.084038,11943,139,185,0.141975
975,adidas Yeezy Boost 700 MNVN Blue Tint,Adidas,220,2021-07-05,199,434,12,225,109,450,100,0.31677,11933,244,171,-0.53406
976,Jordan 3 Retro Racer Blue (GS),Nike,140,2021-07-10,140,173,12,190,53,312,60,0.092008,10469,171,248,0.3036
977,Nike Dunk Low SP Undefeated Canteen Dunk vs. AF1 Pack,Nike,120,2021-06-18,180,320,12,276,169,789,143,0.159805,9076,204,249,0.251256
978,adidas Yeezy Foam RNNR MX Cream Clay,Adidas,80,2021-08-02,370,198,12,450,125,984,175,0.058578,7263,328,419,0.02445
979,Nike Air VaporMax 2020 Flyknit Summit White,Nike,220,2020-08-06,95,141,12,200,92,352,60,0.439643,6485,128,102,-0.15
